source_workbook,source_sheet,source_row,batch,basket,category,semester,course_code_raw,course_code,course_code_status,course_title_raw,course_title,prerequisite_raw,prerequisite,prerequisite_status,lecture_hours,tutorial_hours,practical_hours,credits
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,21,2022,B6,Open/Minor,S6,,,missing_in_source,"Minor/Open (#4, #5 Courses)","Minor/Open (#4, #5 Courses)",,,not_recorded,8.0,0.0,0.0,8.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,21,2022,B6,Open/Minor,S7,,,missing_in_source,Minor (#6 Course),Minor (#6 Course),,,not_recorded,4.0,0.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,22,2022,B7,Internship/ Capstone Project,S5,DATA801,DATA801,recorded,Summer Training/Internship,Summer Training/Internship,NIL,Nil,explicit_none,0.0,0.0,0.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,22,2022,B7,Internship/ Capstone Project,S7,DATA802,DATA802,recorded,Interdisciplinary Project,Interdisciplinary Project,NIL,Nil,explicit_none,0.0,0.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,22,2022,B7,Internship/ Capstone Project,S8,DATA803,DATA803,recorded,Capstone Project/Industrial Internship,Capstone Project/Industrial Internship,NIL,Nil,explicit_none,0.0,0.0,0.0,12.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,24,2022,Total HRS,Internship/ Capstone Project,S1,,,missing_in_source,SEMESTER - I,SEMESTER - I,,,not_recorded,30.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,24,2022,Total HRS,Internship/ Capstone Project,S2,,,missing_in_source,SEMESTER - 2,SEMESTER - 2,,,not_recorded,30.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,24,2022,Total HRS,Internship/ Capstone Project,S3,,,missing_in_source,SEMESTER - 3,SEMESTER - 3,,,not_recorded,25.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,24,2022,Total HRS,Internship/ Capstone Project,S4,,,missing_in_source,SEMESTER - 4,SEMESTER - 4,,,not_recorded,28.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,24,2022,Total HRS,Internship/ Capstone Project,S5,,,missing_in_source,SEMESTER - 5,SEMESTER - 5,,,not_recorded,28.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,24,2022,Total HRS,Internship/ Capstone Project,S6,,,missing_in_source,SEMESTER - 6,SEMESTER - 6,,,not_recorded,25.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,24,2022,Total HRS,Internship/ Capstone Project,S7,,,missing_in_source,SEMESTER - 7,SEMESTER - 7,,,not_recorded,26.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,24,2022,Total HRS,Internship/ Capstone Project,S8,,,missing_in_source,SEMESTER - 8,SEMESTER - 8,,,not_recorded,0.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,3,2023,B1,Univ Core,S1,UCOR103,UCOR103,recorded,Communication Skills,Communication Skills,NIL,Nil,explicit_none,1.0,0.0,2.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,3,2023,B1,Univ Core,S2,UCOR203,UCOR203,recorded,Leadership and Teamwork Skills,Leadership and Teamwork Skills,NIL,Nil,explicit_none,1.0,0.0,2.0,2.0
