course_id,alias,normalized_alias,canonical_title,course_code,source_tables
C_e6fc4b2f2c,Psychopathology,psychopathology,Psychopathology,PSYC255,minor
C_0ab656401e,Public Economics,public economics,Public Economics,ECON325,minor
C_2e3071b72c,Regulating platform and Gig workers,regulating platform and gig workers,Regulating platform and Gig workers,LAWM305,minor
C_ed6c06c9e2,Research Methodology,research methodology,Research Methodology,MATH207,"course_master,semester"
C_99e5e34113,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,spt course 1 probabilistic graph models ltp 3 0 2 web framework ltp 2 0 4,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,MATH401/COMP401,"course_master,semester"
C_99e5e34113,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2/Web Framework LTP: 2-0-4,spt course 1 probabilistic graph models ltp 3 0 2 web framework ltp 2 0 4,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2/Web Framework LTP: 2-0-4,MATH401/COMP401,semester
C_2daeba584d,SPT-Course #2,spt course 2,SPT-Course #2 (Advanced Visualization and Storytelling/Big Data Framework),DATA402/DATA406,"course_master,semester"
C_2daeba584d,Advanced Visualization and Storytelling/Big Data Framework,advanced visualization and storytelling big data framework,SPT-Course #2 (Advanced Visualization and Storytelling/Big Data Framework),DATA402/DATA406,"course_master,semester"
C_2daeba584d,SPT-Course #2 (Advanced Visualization and Storytelling/Big Data Framework),spt course 2 advanced visualization and storytelling big data framework,SPT-Course #2 (Advanced Visualization and Storytelling/Big Data Framework),DATA402/DATA406,"course_master,semester"
C_923739699b,SPT-Course #2-Multi Modal Learning/Big Data Framework,spt course 2 multi modal learning big data framework,SPT-Course #2-Multi Modal Learning/Big Data Framework,DATA404/DATA406,"course_master,semester"
C_8b8662b4c0,SPT-Course #2-Reinforcement Learning/Big Data Framework,spt course 2 reinforcement learning big data framework,SPT-Course #2-Reinforcement Learning/Big Data Framework,DATA405/DATA406,"course_master,semester"
C_12e67ad3bb,SPT-Course #3 (Image Processing and Computer Vision/Cloud & Cognitive Computing),spt course 3 image processing and computer vision cloud cognitive computing,SPT-Course #3 (Image Processing and Computer Vision/Cloud & Cognitive Computing),TBA/COMP405,"course_master,semester"
C_12e67ad3bb,Image Processing and Computer Vision/Cloud & Cognitive Computing,image processing and computer vision cloud cognitive computing,SPT-Course #3 (Image Processing and Computer Vision/Cloud & Cognitive Computing),TBA/COMP405,"course_master,semester"
C_12e67ad3bb,SPT-Course #3,spt course 3,SPT-Course #3 (Image Processing and Computer Vision/Cloud & Cognitive Computing),TBA/COMP405,"course_master,semester"
C_44fef929e5,SPT-Course #3 (Natural Language Processing / Natural Language Processing),spt course 3 natural language processing natural language processing,SPT-Course #3 (Natural Language Processing / Natural Language Processing),DATA403,"course_master,semester"
C_44fef929e5,SPT-Course #3,spt course 3,SPT-Course #3 (Natural Language Processing / Natural Language Processing),DATA403,"course_master,semester"
C_44fef929e5,Natural Language Processing / Natural Language Processing,natural language processing natural language processing,SPT-Course #3 (Natural Language Processing / Natural Language Processing),DATA403,"course_master,semester"
C_02d830bbe6,SPT-Course #3 (Natural Language Processing / Software Architecture and Deployments),spt course 3 natural language processing software architecture and deployments,SPT-Course #3 (Natural Language Processing / Software Architecture and Deployments),DATA403/COMP402,"course_master,semester"
C_02d830bbe6,SPT-Course #3,spt course 3,SPT-Course #3 (Natural Language Processing / Software Architecture and Deployments),DATA403/COMP402,"course_master,semester"
C_02d830bbe6,Natural Language Processing / Software Architecture and Deployments,natural language processing software architecture and deployments,SPT-Course #3 (Natural Language Processing / Software Architecture and Deployments),DATA403/COMP402,"course_master,semester"
C_6a6e657ab3,Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4,advanced topics in deep learning ltp 3 0 2 software architecture and deployments ltp 2 0 4,SPT-Course #4 (Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4),DATA408/COMP402,"course_master,semester"
C_6a6e657ab3,SPT-Course #4 (Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4),spt course 4 advanced topics in deep learning ltp 3 0 2 software architecture and deployments ltp 2 0 4,SPT-Course #4 (Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4),DATA408/COMP402,"course_master,semester"
C_6a6e657ab3,SPT-Course #4,spt course 4,SPT-Course #4 (Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4),DATA408/COMP402,"course_master,semester"
C_400c1fdb70,SPT-Course #4 (Multi Modal Learning / Cloud Computing),spt course 4 multi modal learning cloud computing,SPT-Course #4 (Multi Modal Learning / Cloud Computing),DATA404,"course_master,semester"
C_400c1fdb70,Multi Modal Learning / Cloud Computing,multi modal learning cloud computing,SPT-Course #4 (Multi Modal Learning / Cloud Computing),DATA404,"course_master,semester"
C_400c1fdb70,SPT-Course #4,spt course 4,SPT-Course #4 (Multi Modal Learning / Cloud Computing),DATA404,"course_master,semester"
C_33deb51f0f,SPT-Course #4 (Multi Modal Learning/ Software Architecture and Deployments),spt course 4 multi modal learning software architecture and deployments,SPT-Course #4 (Multi Modal Learning/ Software Architecture and Deployments),DATA404/COMP402,"course_master,semester"
C_33deb51f0f,SPT-Course #4,spt course 4,SPT-Course #4 (Multi Modal Learning/ Software Architecture and Deployments),DATA404/COMP402,"course_master,semester"
C_33deb51f0f,Multi Modal Learning/ Software Architecture and Deployments,multi modal learning software architecture and deployments,SPT-Course #4 (Multi Modal Learning/ Software Architecture and Deployments),DATA404/COMP402,"course_master,semester"
C_a0947bd13f,SPT-Course #5 (Reinforcement Learning/ Cognitive Computing),spt course 5 reinforcement learning cognitive computing,SPT-Course #5 (Reinforcement Learning/ Cognitive Computing),DATA405,"course_master,semester"
C_a0947bd13f,Reinforcement Learning/ Cognitive Computing,reinforcement learning cognitive computing,SPT-Course #5 (Reinforcement Learning/ Cognitive Computing),DATA405,"course_master,semester"
C_a0947bd13f,SPT-Course #5,spt course 5,SPT-Course #5 (Reinforcement Learning/ Cognitive Computing),DATA405,"course_master,semester"
C_232e8629b9,SPT-Course #5 Advanced Topics in Deep Learning LTP: 3-0-2/ Cloud &Cognitive Computing LTP: 2-0-4,spt course 5 advanced topics in deep learning ltp 3 0 2 cloud cognitive computing ltp 2 0 4,SPT-Course #5 Advanced Topics in Deep Learning LTP: 3-0-2/ Cloud &Cognitive Computing LTP: 2-0-4,DATA408/COMP405,"course_master,semester"
C_2019db7127,SPT-Course #5 Reinforcement Learning/Reinforcement Learning,spt course 5 reinforcement learning reinforcement learning,SPT-Course #5 Reinforcement Learning/Reinforcement Learning,DATA405,semester
C_3ca396b1e2,Sales and Distribution Management,sales and distribution management,Sales and Distribution Management,MGMT314,minor
C_3ca396b1e2,Sales and distribution management,sales and distribution management,Sales and distribution management,MGMT314,minor
C_9219f6a184,Services Marketing,services marketing,Services Marketing,MGMT305,minor
C_55c8bca7ff,Sketch to Story,sketch to story,Sketch to Story,CDES301,minor
C_7bdfa03e21,Social Psychology,social psychology,Social Psychology,PSYC241,minor
C_eca01a7263,Socio Cultural Perspectives on Indian Life-SPIL,socio cultural perspectives on indian life spil,Socio Cultural Perspectives on Indian Life-SPIL,UCOR205,"course_master,semester"
C_b57a034837,Socio-Cultural Perspectives on Indian Life,socio cultural perspectives on indian life,Socio-Cultural Perspectives on Indian Life,UCOR205,semester
C_d820217fa5,Statistics with R,statistics with r,Statistics with R,MATH205,"course_master,semester"
C_5f5abd1a19,Strategy & Decision Making,strategy decision making,Strategy & Decision Making,MGMT307,minor
C_8562b97119,Summer Training/Internship,summer training internship,Summer Training/Internship,DATA801,"course_master,semester"
C_4a5d952b1c,Sustainable Cities and Communities,sustainable cities and communities,Sustainable Cities and Communities,MTSC781,"course_master,semester"
C_bd2fa61df8,Sustainable Smart Materials,sustainable smart materials,Sustainable Smart Materials,MTSC211,"course_master,semester"
C_243b937274,Theoretical Computer Science,theoretical computer science,Theoretical Computer Science,COMP202,"course_master,semester"
C_1164ca78eb,Visualizing Data for Story Telling,visualizing data for story telling,Visualizing Data for Story Telling,DATA131,"course_master,semester"
